Open,High,Low,Close,Volume,Year,Month,Day
46190,46760,46160,46265,498500,2015,3,16
46165,46520,45910,46275,1911400,2015,3,13
45125,45680,44840,45515,582600,2015,3,12
44190,45395,44105,44920,603900,2015,3,11
45640,45720,44255,44420,685800,2015,3,10
45680,45885,45325,45340,511600,2015,3,9
46180,46720,46015,46115,525300,2015,3,6
46010,46285,45690,45690,345900,2015,3,5
45910,46415,45770,46165,363900,2015,3,4
47000,47035,46000,46040,477800,2015,3,3
46525,47065,46300,46850,495900,2015,3,2
46150,46665,46000,46330,558800,2015,2,27
45030,46050,44940,45990,582500,2015,2,26
45000,45195,44725,44905,504200,2015,2,25
44500,45300,44440,45300,728600,2015,2,24
43545,44455,43270,44355,800900,2015,2,23
43220,43345,42810,42910,444700,2015,2,20
43780,43970,43035,43065,563200,2015,2,19
43505,43740,43325,43705,520800,2015,2,18
43850,44040,43400,43505,333700,2015,2,17
44115,44295,44000,44065,296700,2015,2,16
43940,44250,43850,44005,682000,2015,2,13
44250,44340,43870,44305,505100,2015,2,12
43615,43690,43235,43435,456700,2015,2,10
44435,44445,43900,43935,362200,2015,2,9
44175,44270,43815,44005,354300,2015,2,6
43560,43920,43425,43475,477400,2015,2,5
43100,43890,42930,43850,636800,2015,2,4
43245,43350,42055,42185,517600,2015,2,3
43400,43740,43005,43055,430700,2015,2,2
44300,44400,43720,44020,577500,2015,1,30
43165,44220,43100,43675,648300,2015,1,29
42845,43865,42720,43600,582300,2015,1,28
42870,43380,42670,43160,471200,2015,1,27
41945,42580,41900,42340,384200,2015,1,26
42970,43095,42485,42645,356600,2015,1,23
42500,42530,41800,42270,529300,2015,1,22
42800,43090,42260,42385,566300,2015,1,21
41550,42700,41455,42700,509400,2015,1,20
41850,41900,41210,41530,577600,2015,1,19
41700,41995,40610,41370,1251300,2015,1,16
42270,42945,41970,42945,757100,2015,1,15
43080,43310,41860,41940,998300,2015,1,14
44060,44295,43250,43575,938300,2015,1,13
45800,46325,44350,44760,1602100,2015,1,9
43650,44550,43400,44405,611300,2015,1,8
43005,43510,43005,43425,727000,2015,1,7
43365,43745,43110,43255,844600,2015,1,6
43580,44420,43295,44065,545000,2015,1,5
44800,44975,44040,44040,584000,2014,12,30
45730,45865,44205,44885,621900,2014,12,29
45650,45700,45270,45330,348000,2014,12,26
45535,45700,45425,45615,375700,2014,12,25
45155,45880,44840,45830,737100,2014,12,24
44830,44900,44440,44525,418400,2014,12,22
44330,44730,44050,44730,937500,2014,12,19
42640,43715,42525,43715,945700,2014,12,18
41700,42080,41525,42070,898300,2014,12,17
41450,41990,41335,41830,975700,2014,12,16
41525,42765,41525,42295,750900,2014,12,15
42015,42965,42015,42800,1924700,2014,12,12
41705,41995,41010,41910,562600,2014,12,11
42905,43200,42150,42405,604200,2014,12,10
42825,43620,42805,43415,499700,2014,12,9
43245,43535,42930,43150,464800,2014,12,8
43250,43520,43120,43240,520200,2014,12,5
44165,44185,43500,43925,418800,2014,12,4
43300,44385,43300,43795,747800,2014,12,3
43000,43410,42950,43255,416300,2014,12,2
42715,43540,42715,43425,352600,2014,12,1
42850,43330,42730,43205,423200,2014,11,28
42260,42850,42260,42625,438700,2014,11,27
42240,42700,41940,42540,593500,2014,11,26
43175,43370,42480,42570,392300,2014,11,25
42480,43170,42110,43100,661900,2014,11,21
43470,43495,42690,42845,472700,2014,11,20
43500,43895,43000,43030,686000,2014,11,19
43025,43590,42855,43535,612500,2014,11,18
43800,43910,42215,42615,1059700,2014,11,17
44665,44730,43760,44205,1788500,2014,11,14
43605,44370,43110,44285,761400,2014,11,13
43670,44350,43330,43480,1297700,2014,11,12
41615,43355,41580,43115,963600,2014,11,11
41800,41900,41240,41430,530600,2014,11,10
42935,42935,42100,42325,721700,2014,11,7
42750,43335,41800,42235,1031000,2014,11,6
41190,42920,41100,42450,1159300,2014,11,5
42465,42485,41500,41500,1647900,2014,11,4
38055,40900,38015,40365,1881900,2014,10,31
37145,37715,37040,37680,603000,2014,10,30
36465,37080,36280,36940,663400,2014,10,29
36700,36875,36120,36135,517600,2014,10,28
37085,37195,36810,36905,412400,2014,10,27
37000,37050,36585,36745,602400,2014,10,24
36500,37085,36460,36590,495600,2014,10,23
37085,37160,36285,36840,890300,2014,10,22
37520,37790,36625,36790,867000,2014,10,21
37445,37940,37205,37905,877200,2014,10,20
37635,37635,36570,36745,731000,2014,10,17
36575,37145,36555,37020,990300,2014,10,16
37600,37680,36960,37640,841300,2014,10,15
37500,37740,36920,36930,1214800,2014,10,14
38000,38455,37000,37890,1687300,2014,10,10
36875,37845,36860,37255,966300,2014,10,9
36385,36950,36365,36705,532600,2014,10,8
37355,37490,36855,36965,590500,2014,10,7
37520,37990,37260,37840,670400,2014,10,6
37810,37880,36635,37370,1013900,2014,10,3
36500,36975,36260,36370,766600,2014,10,2
36615,37210,36525,36780,423800,2014,10,1
36575,36940,36520,36705,417500,2014,9,30
36795,37050,36705,36810,368900,2014,9,29
36165,36910,36160,36655,603600,2014,9,26
37000,37170,36760,36865,521000,2014,9,25
35800,36510,35755,36405,507900,2014,9,24
35880,36270,35870,35970,447600,2014,9,22
35705,36395,35655,36250,1133500,2014,9,19
34640,35065,34450,35005,734900,2014,9,18
34150,34385,34075,34365,531700,2014,9,17
33505,33950,33505,33795,464900,2014,9,16
34065,34345,33900,34125,1866600,2014,9,12
33695,34185,33640,34135,485600,2014,9,11
33665,33725,33415,33675,359700,2014,9,10
33960,34070,33735,33900,354600,2014,9,9
34345,34360,33845,33960,339400,2014,9,8
34375,34400,34025,34035,381500,2014,9,5
33635,34000,33550,33970,387600,2014,9,4
33910,34250,33730,33735,734700,2014,9,3
32690,33360,32615,33165,482400,2014,9,2
32685,32700,32460,32540,139100,2014,9,1
32470,32550,32220,32550,412000,2014,8,29
32905,32935,32495,32665,357000,2014,8,28
33250,33250,32970,33065,263200,2014,8,27
33310,33355,32940,33000,279200,2014,8,26
33065,33410,33055,33355,363000,2014,8,25
32885,33150,32880,32900,236300,2014,8,22
32995,33070,32900,32985,281400,2014,8,21
32825,32935,32715,32800,218400,2014,8,20
33010,33055,32845,32850,345700,2014,8,19
32900,32985,32675,32695,312400,2014,8,18
33095,33100,32885,33030,170400,2014,8,15
33000,33160,32945,33005,212600,2014,8,14
32695,32970,32655,32885,293800,2014,8,13
33000,33220,32740,32885,319200,2014,8,12
33015,33190,32685,33100,545700,2014,8,11
32800,32990,32030,32105,1075000,2014,8,8
33045,33590,32970,33350,478800,2014,8,7
33480,33810,33205,33320,507200,2014,8,6
33950,34025,33520,33565,493400,2014,8,5
34010,34285,33950,34075,368900,2014,8,4
34290,34550,34105,34150,482100,2014,8,1
34395,34740,34285,34405,746500,2014,7,31
33930,34400,33920,33975,492600,2014,7,30
33610,34055,33545,33970,654700,2014,7,29
32900,33365,32835,33300,494000,2014,7,28
32360,32785,32340,32750,330600,2014,7,25
32370,32600,32180,32295,482200,2014,7,24
32350,32465,32210,32280,294000,2014,7,23
32360,32470,32225,32350,453600,2014,7,22
32375,32580,32185,32355,530600,2014,7,18
32980,33175,32860,32875,281000,2014,7,17
32960,33020,32615,32890,374600,2014,7,16
32710,33130,32710,33050,436100,2014,7,15
32875,32945,32380,32760,576600,2014,7,14
32990,33400,32555,32855,1070100,2014,7,11
33235,33685,33200,33505,565200,2014,7,10
33000,33255,32800,33240,471500,2014,7,9
33380,33535,33150,33220,447000,2014,7,8
33445,33750,33310,33580,394300,2014,7,7
33740,33750,33360,33420,336500,2014,7,4
33800,33865,33330,33375,566500,2014,7,3
33520,33775,33235,33335,460200,2014,7,2
33150,33790,33030,33455,623000,2014,7,1
33635,33790,33150,33330,510300,2014,6,30
34345,34565,33400,33635,653400,2014,6,27
34550,34645,34320,34590,308700,2014,6,26
34300,34615,34215,34350,318500,2014,6,25
34280,34895,34220,34700,359900,2014,6,24
34855,34975,34635,34765,503400,2014,6,23
34325,34770,34270,34415,611600,2014,6,20
33695,34495,33530,34480,707800,2014,6,19
33330,33785,33320,33605,494500,2014,6,18
33165,33490,33140,33250,354300,2014,6,17
33610,33835,32920,33150,645700,2014,6,16
32900,34030,32900,33975,1489100,2014,6,13
33925,33940,33255,33510,693200,2014,6,12
34300,34610,34110,34215,348900,2014,6,11
34780,35170,34215,34335,622300,2014,6,10
35075,35170,34870,34880,411100,2014,6,9
